   i      x      y
1143  0.714  2.482
1144  0.715  2.483
1145  0.716  2.485
1146  0.716  2.487
1147  0.717  2.488
1148  0.718  2.490
1149  0.718  2.492
1150  0.719  2.493
1151  0.719  2.495
1152  0.720  2.497
1153  0.721  2.498
1154  0.721  2.500
1155  0.722  2.501
1156  0.723  2.503
1157  0.723  2.505
1158  0.724  2.506
1159  0.724  2.508
1160  0.725  2.510
1161  0.726  2.511
1162  0.726  2.513
1163  0.727  2.515
1164  0.728  2.516
1165  0.728  2.518
1166  0.729  2.519
1167  0.729  2.521
1168  0.730  2.523
1169  0.731  2.524
1170  0.731  2.526
1171  0.732  2.528
1172  0.733  2.529
1173  0.733  2.531
1174  0.734  2.533
1175  0.734  2.534
1176  0.735  2.536
1177  0.736  2.537
1178  0.736  2.539
1179  0.737  2.541
1180  0.738  2.542
1181  0.738  2.544
1182  0.739  2.545
1183  0.739  2.547
1184  0.740  2.549
1185  0.741  2.550
1186  0.741  2.552
1187  0.742  2.554
1188  0.743  2.555
1189  0.743  2.557
1190  0.744  2.558
1191  0.744  2.560
1192  0.745  2.562
1193  0.746  2.563
1194  0.746  2.565
1195  0.747  2.566
1196  0.748  2.568
1197  0.748  2.570
1198  0.749  2.571
1199  0.749  2.573
1200  0.750  2.574
1201  0.751  2.576
1202  0.751  2.578
1203  0.752  2.579
1204  0.753  2.581
1205  0.753  2.582
1206  0.754  2.584
1207  0.754  2.586
1208  0.755  2.587
1209  0.756  2.589
1210  0.756  2.590
1211  0.757  2.592
1212  0.758  2.594
1213  0.758  2.595
1214  0.759  2.597
1215  0.759  2.598
1216  0.760  2.600
1217  0.761  2.602
1218  0.761  2.603
1219  0.762  2.605
1220  0.763  2.606
1221  0.763  2.608
1222  0.764  2.609
1223  0.764  2.611
1224  0.765  2.613
1225  0.766  2.614
1226  0.766  2.616
1227  0.767  2.617
1228  0.768  2.619
1229  0.768  2.620
1230  0.769  2.622
1231  0.769  2.624
1232  0.770  2.625
1233  0.771  2.627
1234  0.771  2.628
1235  0.772  2.630
1236  0.772  2.631
1237  0.773  2.633
1238  0.774  2.635
1239  0.774  2.636
1240  0.775  2.638
1241  0.776  2.639
1242  0.776  2.641
1243  0.777  2.642
1244  0.777  2.644
1245  0.778  2.646
1246  0.779  2.647
1247  0.779  2.649
1248  0.780  2.650
1249  0.781  2.652
1250  0.781  2.653
1251  0.782  2.655
1252  0.782  2.656
1253  0.783  2.658
1254  0.784  2.659
1255  0.784  2.661
1256  0.785  2.663
1257  0.786  2.664
1258  0.786  2.666
1259  0.787  2.667
1260  0.787  2.669
1261  0.788  2.670
1262  0.789  2.672
1263  0.789  2.673
1264  0.790  2.675
1265  0.791  2.676
1266  0.791  2.678
1267  0.792  2.680
